5,Token reordering,Trinity Grace Community Church,"100 Chapel Lane, Nashville, TN 37201",,CHURCH,Church Community Grace Trinity,"100 Chapel Lane, Nashville, TN 37201",987654321,CHURCH,,
,,Vanguard Capital Hedge Fund,"500 Wall Street, New York, NY 10005",456789123,HEDGE,Fund Hedge Capital Vanguard,"500 Wall Street, New York, NY 10005",,FUND,,
,,St Mary Academy School,"250 Education Way, Boston, MA 02108",,SCHOOL,School Academy Mary St,"10 Main St, Cambridge, MA 02138",111222333,SCHOOL,,
,,,,,,,,,,,
6,Special character handling,B&M International Trading Co.,"100 Main St. #4-B, New York, NY 10001",954789512,NGO,B AND M INTERNATIONAL TRADING CO,"450 North Oak Avenue, Chicago, IL 60601",111222333,SOLE PROPRIETORSHIP,,
,,S.T.A.R. Youth Foundation,"450 N. Oak Ave., Ste. 100 / Bldg. A",578412589,FNDN,STAR Youth Foundation,450 N Oak Ave Ste 100 Bldg A,,,,
,,L'Express @ Capital Bank (Global),"1200 Pacific Hwy; San Diego, CA 92101",,INVSTBNK,LExpress At Capital Bank,"750 Broad Street, Newark, NJ 07102",999888777,FOCO,,
,,,,,,,,,,,
7,Legal entity synonym expansion,pex Technology Corporation,"500 Innovation Way, Austin, TX 78701",987654321,CORP,Apex Technology Corp,"500 Innovation Way, Austin, TX 78701",,,,
,,Global Logistics Incorporated,"450 North Oak Avenue, Chicago, IL 60601",578412589,INC,Global Logistics Inc,"120 Federal St, Boston, MA 02110",111222333,LLP,,
,,Beacon Hill Private Limited,"120 Federal St, Boston, MA 02110",,FOCO,Beacon Hill Pvt Ltd,"120 Federal St, Boston, MA 02110",654987321,INVSTBNK,,
,,Horizon Solutions Limited Liability Company,"750 Broad Street, Newark, NJ 07102",456789123,LLC,Horizon Solutions LLC,"100 Main St, New York, NY 10001",999888777,,,
8,Acronym expansion,Bank of New York Mellon,"240 Greenwich Street, New York, NY 10286",954789512,INVSTBNK,BNY Mellon,"240 Greenwich Street, New York, NY 10286",,,,
,,International Business Machines,"1 New Orchard Road, Armonk, NY 10504",578412589,CORP,IBM,"450 North Oak Avenue, Chicago, IL 60601",111222333,LLP,,
,,Apex Logistics Services,"500 Innovation Way, Austin, TX 78701",,FOCO,ALS,"500 Innovation Way, Austin, TX 78701",654987321,INVSTBNK,,
,,Hongkong and Shanghai Banking Corporation,"1 Queen's Road Central, Hong Kong",456789123,INVSTBNK,HSBC,"100 Main St, New York, NY 10001",999888777,,,
9,Abbreviation expansion,Apex Technology Department,"500 Innovation Way, Austin, TX 78701",987654321,SCHOOL,Apex Tech Dept,"500 Innovation Way, Austin, TX 78701",,,,
,,Global Management and Administration Services,"450 North Oak Avenue, Chicago, IL 60601",578412589,MUNI,Global Mgmt and Admin Svcs,"120 Federal St, Boston, MA 02110",111222333,INDIV,,
,,Jane Street,"250 Vesey Street, New York, NY 10281",,HEDGE,Jane St,"New York, NY 10281",547814968,,,
10,Address standardization,Pinnacle Energy Resources,"750 Broad Street, Suite 400, Newark, NJ 07102",456789123,FOINS,Pinnacle Energy Resources,"750 Broad St, Ste 400, Newark, NJ 07102",,,,
,,Zenith Financial Solutions,"500 Innovation Boulevard, Apartment 12B, Austin, TX 78701",987654321,SCHOOL,Zenith Financial Solutions,"500 Innovation Blvd, Apt 12B, Austin, TX 78701",111222333,INDIV,,
,,Vanguard Freight Systems,"450 North Oak Avenue, Highway 101, Chicago, IL 60601",,MUNI,Vanguard Freight Systems,"450 N Oak Ave, Hwy 101, Chicago, IL 60601",578412589,FOCO,,
,,Sterling Global Enterprise,"120 Federal Parkway, Drive #3, Boston, MA 02110",654987321,LLP,Sterling Global Enterprise,"100 Main St, New York, NY 10001",999888777,,,
11,Stop word removal,The Crestview Capital and Growth Fund,"1200 Pacific Hwy, San Diego, CA 92101",321654987,HEDGE,Crestview Capital Growth Fund,"1200 Pacific Hwy, San Diego, CA 92101",,,,
,,Society for the Prevention of Cruelty,"450 N Oak Ave, Chicago, IL 60601",578412589,NGO,Society Prevention Cruelty,"100 Main St, New York, NY 10001",111222333,FNDN,,
,,Center of Science or Technology,"500 Innovation Blvd, Austin, TX 78701",,SCHOOL,Center Science Technology,"500 Innovation Blvd, Austin, TX 78701",654987321,PLAN,,
,,The Bank for International Trade,"750 Broad St, Newark, NJ 07102",456789123,INVSTBNK,Bank International Trade,"800 Rural Route, Des Moines, IA 50309",999888777,,,
12,Business stop words,Trident Logistics Group International,"100 Main St, New York, NY 10001",987654321,CORP,Trident Logistics,"100 Main St, New York, NY 10001",,,,
,,Zenith Financial Solutions Enterprise,"500 Innovation Blvd, Austin, TX 78701",456789123,INVSTBNK,Zenith Financial,"120 Federal St, Boston, MA 02110",111222333,LLP,,
,,Horizon Data Systems Services,"750 Broad St, Newark, NJ 07102",,FOINS,Horizon Data,"750 Broad St, Newark, NJ 07102",654987321,FOCO,,
,,Meridian Advisory Partners Global,"450 N Oak Ave, Chicago, IL 60601",321654987,PLAN,Meridian Advisory,"800 Rural Route, Des Moines, IA 50309",999888777,,,
13,Inflection,Vanguard Management Group,"500 Wall Street, New York, NY 10005",456789123,HEDGE,Vanguard Managing Group,"500 Wall Street, New York, NY 10005",,,,
,,Apex Software Creator Services,"120 Federal St, Boston, MA 02110",,FOCO,Apex Software Creating Services,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,Global Search Solutions,"750 Broad St, Newark, NJ 07102",987654321,NGO,Global Searching Solutions,"750 Broad St, Newark, NJ 07102",654987321,FNDN,,
,,Horizon Consulting Partners,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN,Horizon Consulted Partners,"800 Rural Route, Des Moines, IA 50309",999888777,,,
14,Lemmatization,Rapid Runner Freight Systems,"500 Wall Street, New York, NY 10005",456789123,CORP,Rapid Running Freight Systems,"500 Wall Street, New York, NY 10005",,,,
,,Better Building Solutions,"120 Federal St, Boston, MA 02110",,FOCO,Good Building Solutions,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,Apex Flying Express Logistics,"750 Broad St, Newark, NJ 07102",987654321,NGO,Apex Flew Express Logistics,"750 Broad St, Newark, NJ 07102",654987321,FNDN,,
,,Horizon Children Health Services,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN,Horizon Child Health Services,"800 Rural Route, Des Moines, IA 50309",999888777,,,
15,Number normalization,even Hills Asset Management,"100 Main St, Suite 7, New York, NY 10001",456789123,HEDGE,7 Hills Asset Management,"100 Main St, Suite 7, New York, NY 10001",,,,
,,First National Capital Corp,"500 Wall Street, Floor 1st, New York, NY 10005",,INVSTBNK,1st National Capital Corp,"120 Federal St, Boston, MA 02110",111222333,LLP,,
,,Apex 21st Century Media,"750 Broad St, Newark, NJ 07102",987654321,NGO,Apex Twenty First Century Media,"750 Broad St, Newark, NJ 07102",654987321,FNDN,,
,,Three Rivers Logistics Center,"450 North Oak Avenue, Chicago, IL 60601",321654987,MUNI,3 Rivers Logistics Center,"800 Rural Route, Des Moines, IA 50309",999888777,,,
16,Roman numeral handling,Henry III Logistics Group,"500 Wall Street, Floor 3, New York, NY 10005",456789123,CORP,Henry 3 Logistics Group,"500 Wall Street, Floor 3, New York, NY 10005",,,,
,,Apex Century IV Capital,"120 Federal St, Suite 400, Boston, MA 02110",,HEDGE,Apex Century 4 Capital,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,World War II Memorial Foundation,"750 Broad St, Newark, NJ 07102",987654321,FNDN,World War 2 Memorial Foundation,"750 Broad St, Newark, NJ 07102",654987321,NGO,,
,,Charles IX Energy Solutions,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN,Charles 9 Energy Solutions,"800 Rural Route, Des Moines, IA 50309",999888777,,,
17,Contains/Partial match,Wells Fargo Finances,"420 Montgomery Street, San Francisco, CA 94104",456789123,INVSTBNK,Wells Fargo,"420 Montgomery Street, San Francisco, CA 94104",,,,
,,JPMorgan Chase Wealth Management,"270 Park Avenue, New York, NY 10017",,HEDGE,JPMorgan Chase,"120 Federal St, Boston, MA 02110",111222333,LLP,,
,,Bank of America Merrill Lynch Services,"100 North Tryon Street, Charlotte, NC 28255",987654321,CORP,Bank of America,"100 North Tryon Street, Charlotte, NC 28255",654987321,FOCO,,
,,Goldman Sachs Asset Advisory,"200 West Street, New York, NY 10282",321654987,PLAN,Goldman Sachs,"800 Rural Route, Des Moines, IA 50309",999888777,,,
18,Phonetic matching,Steven Miller Advisory,"500 Wall Street, New York, NY 10005",456789123,INDIV,Stephen Miller Advisory,"500 Wall Street, New York, NY 10005",,,,
,,Catherine Smith Holdings,"120 Federal St, Boston, MA 02110",,FOCO,Katherine Smith Holdings,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,Bryan Johns Capital,"750 Broad St, Newark, NJ 07102",987654321,HEDGE,Brian Johns Capital,"750 Broad St, Newark, NJ 07102",654987321,INVSTBNK,,
,,Sean Wright Financial,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN,Shawn Wright Financial,"800 Rural Route, Des Moines, IA 50309",999888777,,,
19,Synonym expansion,Premier Automobile Logistics,"500 Wall Street, New York, NY 10005",456789123,CORP,Premier Car Logistics,"500 Wall Street, New York, NY 10005",,,,
,,Apex Lawyer Services,"120 Federal St, Boston, MA 02110",,LLP,Apex Attorney Services,"450 N Oak Ave, Chicago, IL 60601",111222333,FOCO,,
,,Global Physician Group,"750 Broad St, Newark, NJ 07102",987654321,INDIV,Global Doctor Group,"750 Broad St, Newark, NJ 07102",654987321,PLAN,,
,,Horizon Commerce Bank,"500 Innovation Blvd, Austin, TX 78701",321654987,INVSTBNK,Horizon Trade Bank,"800 Rural Route, Des Moines, IA 50309",999888777,,,
20,Doman-specific synonyms,Vanguard Legal Entity Solutions,"500 Wall Street, New York, NY 10005",456789123,CORP,Vanguard LE Solutions,"500 Wall Street, New York, NY 10005",,,,
,,Apex Employer Identification Number Registry,"120 Federal St, Boston, MA 02110",,FOCO,Apex EIN Registry,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,Global Tax Identification Number Advisory,"750 Broad St, Newark, NJ 07102",987654321,INVSTBNK,Global TIN Advisory,"750 Broad St, Newark, NJ 07102",654987321,PLAN,,
,,Horizon Trade Name Holdings,"500 Innovation Blvd, Austin, TX 78701",321654987,HEDGE,Horizon DBA Holdings,"800 Rural Route, Des Moines, IA 50309",999888777,,,
21,Alias matching,Google LLC,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",987654321,CORP,Alphabet Inc,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",,,,
,,Facebook Inc,"1 Hacker Way, Menlo Park, CA 94025",456789123,CORP,Meta Platforms Inc,"120 Federal St, Boston, MA 02110",111222333,LLP,,
,,Twitter Inc,"1355 Market St, San Francisco, CA 94103",,FOCO,X Corp,"1355 Market St, San Francisco, CA 94103",654987321,INVSTBNK,,
,,Square Inc,"1455 Market St, San Francisco, CA 94103",321654987,PLAN,Block Inc,"800 Rural Route, Des Moines, IA 50309",999888777,,,
22,Nickname matching,Robert Miller Services,"500 Wall Street, New York, NY 10005",456789123,INDIV,Bob Miller Services,"500 Wall Street, New York, NY 10005",,,,
,,William Johnson Advisory,"120 Federal St, Boston, MA 02110",,INDIV,Bill Johnson Advisory,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,Elizabeth Davis Consulting,"750 Broad St, Newark, NJ 07102",987654321,INDIV,Beth Davis Consulting,"750 Broad St, Newark, NJ 07102",654987321,FOCO,,
,,Richard Wilson Financial,"500 Innovation Blvd, Austin, TX 78701",321654987,INDIV,Dick Wilson Financial,"800 Rural Route, Des Moines, IA 50309",999888777,,,
23,Transliteration,Gazprom Neft PJSC,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",456789123,FOCO,Газпром нефть,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",,,,
,,Beijing Capital Holdings,"120 Federal St, Boston, MA 02110",,CORP,北京首都集团,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,Al Rahma Trading Company,"750 Broad St, Newark, NJ 07102",987654321,FOINS,شركة الرحمة للتجارة,"750 Broad St, Newark, NJ 07102",654987321,NGO,,
,,Mitsubishi UFJ Financial Group,"500 Innovation Blvd, Austin, TX 78701",321654987,INVSTBNK,三菱UFJフィナンシャル・グループ,"800 Rural Route, Des Moines, IA 50309",999888777,,,
24,Multilingual matching,Red Cross Foundation,"500 Wall Street, New York, NY 10005",456789123,NGO,Croix-Rouge Fondation,"500 Wall Street, New York, NY 10005",,,,
,,Swiss Federal Railways,"120 Federal St, Boston, MA 02110",,MUNI,Schweizerische Bundesbahnen,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP,,
,,Bank of China,"750 Broad St, Newark, NJ 07102",987654321,INVSTBNK,中国银行,"750 Broad St, Newark, NJ 07102",654987321,FOCO,,
,,Munich Reinsurance Company,"500 Innovation Blvd, Austin, TX 78701",321654987,FOINS,Münchener Rückversicherungs-Gesellschaft,"800 Rural Route, Des Moines, IA 50309",999888777,,,
25,Semantic matching,Cloud Database Provider,,987654321,CORP,Databricks Inc,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",,,,
,,Electric Vehicle Manufacturer,,456789123,CORP,Tesla Motors,"120 Federal St, Boston, MA 02110",111222333,LLP,,
,,E-Commerce Marketplace Giant,,,FOCO,Amazon.com Inc,"410 Terry Ave N, Seattle, WA 98109",654987321,INVSTBNK,,
,,Search Engine Operator,,321654987,PLAN,Google LLC,"800 Rural Route, Des Moines, IA 50309",999888777,,,
